feasible,figure_of_merit,noise_reduction_dB,blade_mass_g,on_front,chord_root_m,chord_tip_m,twist_root_deg,twist_tip_deg,tubercle_amp_m,tubercle_wl_m,n_blades,prop_radius_m,hub_radius_m,hub_height_m,shaft_hole_r_m,thickness_ratio,rpm,total_thrust_N,total_torque_Nm,rho_air
True,0.84402,1.5,23.8414,False,0.028,0.01,35.0,12.0,0.003,0.04,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81648,0.79,24.7478,False,0.030878843712149093,0.012759876112571053,43.963664569198755,11.970950340327715,0.0018164614492484057,0.03095356907440608,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84904,1.13,30.0371,False,0.03146356923780745,0.011175847370389343,35.78965615515283,10.365991556477242,0.0025295515647700373,0.06785050202972004,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.74001,0.48,10.5894,False,0.024353945527685668,0.008239502520780002,42.56171483087031,12.526130403165663,0.0008226258688216706,0.054424708189270386,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82738,1.47,19.0229,False,0.021164361463937915,0.013765858595681564,38.16726690815291,15.019762132874504,0.0027815121914320845,0.03333385389224632,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.80999,0.91,16.2211,False,0.02235054477194285,0.00925277802433808,27.68011304352633,18.382702291043234,0.001520435108365675,0.0436845572961099,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.79317,0.49,14.0675,False,0.026157170773919675,0.012052110324684222,34.37654677855138,13.553460842889978,0.000992450108384439,0.055306057024216385,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.74999,0.66,15.017,False,0.029183474133116984,0.00955745604128273,41.6686009609118,14.677178911169158,0.001333918112580396,0.06550621813130114,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77776,0.97,12.3115,False,0.03379341236971211,0.008523248826943663,31.632039320123766,10.533089809559781,0.0021374339871404703,0.058440632499924906,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83266,1.47,22.5825,False,0.024386523346164327,0.013429723310795113,30.7159787264317,18.089040143927456,0.002990711136431031,0.035530021050987216,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83638,1.44,20.336,True,0.02528298722862217,0.0060115954882064854,39.70876241782288,9.059771247387769,0.002327562125031673,0.04130544751021361,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.814,0.11,16.522,False,0.02753157294960524,0.007205573220066035,25.90134355348561,8.469916812044055,0.00020575961933290575,0.06122285412683026,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82515,0.57,19.8928,False,0.028185090304730473,0.010771610179956965,33.24248054889027,6.166582359673615,0.001170394443235678,0.06409164169786258,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
